"project","access","year","month","day","articles__article","articles__views","articles__rank"
"lv.wikipedia","all-access","2018","05","all-days","2018._gada_Pasaules_čempionāts_hokejā","92344","1"
"lv.wikipedia","all-access","2018","05","all-days","Sākumlapa","48769","2"
"lv.wikipedia","all-access","2018","05","all-days","Special:Search","35800","3"
"lv.wikipedia","all-access","2018","05","all-days","Special:RecentChanges","17364","4"
"lv.wikipedia","all-access","2018","05","all-days","Latvijas_hokeja_izlase","16132","5"
"lv.wikipedia","all-access","2018","05","all-days","Mātes_diena","14147","6"
"lv.wikipedia","all-access","2018","05","all-days","Vikiprojekts:Dabas_skati_Vikipēdijā_2018","13558","7"
"lv.wikipedia","all-access","2018","05","all-days","Latvija","12584","8"
"lv.wikipedia","all-access","2018","05","all-days","2018._gada_Eirovīzijas_dziesmu_konkurss","12432","9"
"lv.wikipedia","all-access","2018","05","all-days","Valsts","9104","10"
"lv.wikipedia","all-access","2018","05","all-days","Eiropas_Savienība","8969","11"
"lv.wikipedia","all-access","2018","05","all-days","Special:CreateAccount","7757","12"
"lv.wikipedia","all-access","2018","05","all-days","Pirmais_pasaules_karš","6898","13"
"lv.wikipedia","all-access","2018","05","all-days","Otrais_pasaules_karš","6814","14"
"lv.wikipedia","all-access","2018","05","all-days","Džastins_Bībers","6759","15"
"lv.wikipedia","all-access","2018","05","all-days","Latvijas_svētku,_atceres_un_atzīmējamās_dienas","6235","16"
"lv.wikipedia","all-access","2018","05","all-days","2017._gada_Pasaules_čempionāts_hokejā","6234","17"
"lv.wikipedia","all-access","2018","05","all-days","Nora_Bumbiere","6060","18"
"lv.wikipedia","all-access","2018","05","all-days","Pasaules_čempionāts_hokejā","6057","19"
"lv.wikipedia","all-access","2018","05","all-days","Rīga","5342","20"
"lv.wikipedia","all-access","2018","05","all-days","Itālija","5244","21"
"lv.wikipedia","all-access","2018","05","all-days","Latvijas_vēsture","4663","22"
"lv.wikipedia","all-access","2018","05","all-days","Elvis_Merzļikins","4581","23"
"lv.wikipedia","all-access","2018","05","all-days","Eiropa","4402","24"
"lv.wikipedia","all-access","2018","05","all-days","Par_Latvijas_Republikas_neatkarības_atjaunošanu","4383","25"
"lv.wikipedia","all-access","2018","05","all-days","Vispārējie_latviešu_Dziesmu_un_Deju_svētki","4356","26"
"lv.wikipedia","all-access","2018","05","all-days","Vācija","4299","27"
"lv.wikipedia","all-access","2018","05","all-days","Megana_Mārkla","4238","28"
"lv.wikipedia","all-access","2018","05","all-days","Mākslinieciskās_izteiksmes_līdzeklis","4050","29"
"lv.wikipedia","all-access","2018","05","all-days","Rūdolfs_Balcers","3960","30"
