"project","access","year","month","day","articles__article","articles__views","articles__rank"
"lv.wikipedia","all-access","2018","03","all-days","Sākumlapa","58593","1"
"lv.wikipedia","all-access","2018","03","all-days","Special:Search","39913","2"
"lv.wikipedia","all-access","2018","03","all-days","Special:RecentChanges","19489","3"
"lv.wikipedia","all-access","2018","03","all-days","Lieldienas","10180","4"
"lv.wikipedia","all-access","2018","03","all-days","Latvija","10062","5"
"lv.wikipedia","all-access","2018","03","all-days","Stīvens_Hokings","9079","6"
"lv.wikipedia","all-access","2018","03","all-days","Starptautiskā_sieviešu_diena","7507","7"
"lv.wikipedia","all-access","2018","03","all-days","Special:CreateAccount","6373","8"
"lv.wikipedia","all-access","2018","03","all-days","Rīga","4919","9"
"lv.wikipedia","all-access","2018","03","all-days","Otrais_pasaules_karš","4846","10"
