"project","access","year","month","day","articles__article","articles__views","articles__rank"
"lv.wikipedia","all-access","2018","04","all-days","Sākumlapa","54198","1"
"lv.wikipedia","all-access","2018","04","all-days","Special:Search","37753","2"
"lv.wikipedia","all-access","2018","04","all-days","Special:RecentChanges","15425","3"
"lv.wikipedia","all-access","2018","04","all-days","Avicii","12727","4"
"lv.wikipedia","all-access","2018","04","all-days","Latvija","10916","5"
"lv.wikipedia","all-access","2018","04","all-days","2018._gada_Pasaules_čempionāts_hokejā","8343","6"
"lv.wikipedia","all-access","2018","04","all-days","Osmaņu_dinastija","5797","7"
"lv.wikipedia","all-access","2018","04","all-days","Otrais_pasaules_karš","5369","8"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_svētku,_atceres_un_atzīmējamās_dienas","5306","9"
"lv.wikipedia","all-access","2018","04","all-days","Rīga","5222","10"
"lv.wikipedia","all-access","2018","04","all-days","Eiropas_Savienība","5205","11"
"lv.wikipedia","all-access","2018","04","all-days","Suleimans_I","4934","12"
"lv.wikipedia","all-access","2018","04","all-days","Lieldienas","4903","13"
"lv.wikipedia","all-access","2018","04","all-days","Ahmeds_I","4576","14"
"lv.wikipedia","all-access","2018","04","all-days","Sultāne_Kosema","4311","15"
"lv.wikipedia","all-access","2018","04","all-days","Selims_II","4203","16"
"lv.wikipedia","all-access","2018","04","all-days","Pirmais_pasaules_karš","4169","17"
"lv.wikipedia","all-access","2018","04","all-days","Austrālija","4166","18"
"lv.wikipedia","all-access","2018","04","all-days","Osmaņu_impērijas_sultānu_uzskaitījums","4157","19"
"lv.wikipedia","all-access","2018","04","all-days","Vācija","4120","20"
"lv.wikipedia","all-access","2018","04","all-days","Eiropa","3999","21"
"lv.wikipedia","all-access","2018","04","all-days","Krievija","3813","22"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_vēsture","3810","23"
"lv.wikipedia","all-access","2018","04","all-days","Dzīvnieki","3740","24"
"lv.wikipedia","all-access","2018","04","all-days","Vikipēdija","3723","25"
"lv.wikipedia","all-access","2018","04","all-days","Aukstais_karš","3707","26"
"lv.wikipedia","all-access","2018","04","all-days","Mākslinieciskās_izteiksmes_līdzeklis","3610","27"
"lv.wikipedia","all-access","2018","04","all-days","Francija","3478","28"
"lv.wikipedia","all-access","2018","04","all-days","NATO","3430","29"
"lv.wikipedia","all-access","2018","04","all-days","Special:Watchlist","3406","30"
"lv.wikipedia","all-access","2018","04","all-days","Murads_III","3337","31"
"lv.wikipedia","all-access","2018","04","all-days","Vispārējie_latviešu_Dziesmu_un_Deju_svētki","3270","32"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_PSR","3262","33"
"lv.wikipedia","all-access","2018","04","all-days","Nīderlande","3262","33"
"lv.wikipedia","all-access","2018","04","all-days","Amerikas_Savienotās_Valstis","3255","35"
"lv.wikipedia","all-access","2018","04","all-days","Dienvidamerika","3235","36"
"lv.wikipedia","all-access","2018","04","all-days","Saules_sistēma","3233","37"
"lv.wikipedia","all-access","2018","04","all-days","Imants_Ziedonis","3233","37"
"lv.wikipedia","all-access","2018","04","all-days","Sengrieķu_mitoloģijas_mītu_un_tēlu_uzskaitījums","3193","39"
"lv.wikipedia","all-access","2018","04","all-days","Special:CreateAccount","3172","40"
"lv.wikipedia","all-access","2018","04","all-days","Itālija","3124","41"
"lv.wikipedia","all-access","2018","04","all-days","Apvienotā_Karaliste","3105","42"
"lv.wikipedia","all-access","2018","04","all-days","Spānija","3022","43"
"lv.wikipedia","all-access","2018","04","all-days","Osmaņu_impērija","2876","44"
"lv.wikipedia","all-access","2018","04","all-days","Zeme","2865","45"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_pilsētu_uzskaitījums","2846","46"
"lv.wikipedia","all-access","2018","04","all-days","Mehmeds_III","2807","47"
"lv.wikipedia","all-access","2018","04","all-days","Renesanse","2791","48"
"lv.wikipedia","all-access","2018","04","all-days","Rūdolfs_Blaumanis","2741","49"
"lv.wikipedia","all-access","2018","04","all-days","Antarktīda","2736","50"
"lv.wikipedia","all-access","2018","04","all-days","Indija","2709","51"
"lv.wikipedia","all-access","2018","04","all-days","ISO_8601","2677","52"
"lv.wikipedia","all-access","2018","04","all-days","Rainis","2636","53"
"lv.wikipedia","all-access","2018","04","all-days","Apvienoto_Nāciju_Organizācija","2629","54"
"lv.wikipedia","all-access","2018","04","all-days","ISBN","2615","55"
"lv.wikipedia","all-access","2018","04","all-days","Volfgangs_Amadejs_Mocarts","2584","56"
"lv.wikipedia","all-access","2018","04","all-days","Kaķis","2566","57"
"lv.wikipedia","all-access","2018","04","all-days","Vārdšķira","2556","58"
"lv.wikipedia","all-access","2018","04","all-days","Latviešu_alfabēts","2531","59"
"lv.wikipedia","all-access","2018","04","all-days","Latviešu_strēlnieki","2505","60"
"lv.wikipedia","all-access","2018","04","all-days","Olbaltumvielas","2484","61"
"lv.wikipedia","all-access","2018","04","all-days","Padomju_Savienība","2467","62"
"lv.wikipedia","all-access","2018","04","all-days","Daugava","2464","63"
"lv.wikipedia","all-access","2018","04","all-days","Ķīna","2459","64"
"lv.wikipedia","all-access","2018","04","all-days","Franču_revolūcija","2446","65"
"lv.wikipedia","all-access","2018","04","all-days","Āfrika","2437","66"
"lv.wikipedia","all-access","2018","04","all-days","Vizma_Belševica","2437","66"
"lv.wikipedia","all-access","2018","04","all-days","Šveice","2401","68"
"lv.wikipedia","all-access","2018","04","all-days","Brīvības_piemineklis","2395","69"
"lv.wikipedia","all-access","2018","04","all-days","Latviešu_valoda","2391","70"
"lv.wikipedia","all-access","2018","04","all-days","Liepāja","2385","71"
"lv.wikipedia","all-access","2018","04","all-days","Mustafa_I","2378","72"
"lv.wikipedia","all-access","2018","04","all-days","Lietuva","2373","73"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_hokeja_izlase","2357","74"
"lv.wikipedia","all-access","2018","04","all-days","Palīdzība:Saturs","2345","75"
"lv.wikipedia","all-access","2018","04","all-days","JSON","2325","76"
"lv.wikipedia","all-access","2018","04","all-days","Elizabete_II_Vindzora","2319","77"
"lv.wikipedia","all-access","2018","04","all-days","Viduslaiki","2291","78"
"lv.wikipedia","all-access","2018","04","all-days","Igaunija","2283","79"
"lv.wikipedia","all-access","2018","04","all-days","Zviedrija","2271","80"
"lv.wikipedia","all-access","2018","04","all-days","Datortīkls","2265","81"
"lv.wikipedia","all-access","2018","04","all-days","Japāna","2262","82"
"lv.wikipedia","all-access","2018","04","all-days","Putni","2254","83"
"lv.wikipedia","all-access","2018","04","all-days","Kukaiņi","2245","84"
"lv.wikipedia","all-access","2018","04","all-days","Trigonometriskās_funkcijas","2232","85"
"lv.wikipedia","all-access","2018","04","all-days","Mātes_diena","2209","86"
"lv.wikipedia","all-access","2018","04","all-days","Ķīmisko_elementu_periodiskā_tabula","2202","87"
"lv.wikipedia","all-access","2018","04","all-days","Norvēģija","2172","88"
"lv.wikipedia","all-access","2018","04","all-days","Senā_Roma","2170","89"
"lv.wikipedia","all-access","2018","04","all-days","Kristaps_Porziņģis","2136","90"
"lv.wikipedia","all-access","2018","04","all-days","Baltais_stārķis","2132","91"
"lv.wikipedia","all-access","2018","04","all-days","Polija","2127","92"
"lv.wikipedia","all-access","2018","04","all-days","Papīra_lapas_formāts","2113","93"
"lv.wikipedia","all-access","2018","04","all-days","Interneta_medija_tips","2100","94"
"lv.wikipedia","all-access","2018","04","all-days","Saule","2098","95"
"lv.wikipedia","all-access","2018","04","all-days","Livonijas_karš","2087","96"
"lv.wikipedia","all-access","2018","04","all-days","Kurzemes_un_Zemgales_hercogiste","2076","97"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_okupācija_(1940)","2072","98"
"lv.wikipedia","all-access","2018","04","all-days","Nora_Bumbiere","2071","99"
"lv.wikipedia","all-access","2018","04","all-days","Jaunlatvieši","2066","100"
"lv.wikipedia","all-access","2018","04","all-days","Jauda","2050","101"
"lv.wikipedia","all-access","2018","04","all-days","Islande","2047","102"
"lv.wikipedia","all-access","2018","04","all-days","Par_Latvijas_Republikas_neatkarības_atjaunošanu","2003","103"
"lv.wikipedia","all-access","2018","04","all-days","Raimonds_Vējonis","1986","104"
"lv.wikipedia","all-access","2018","04","all-days","Svešā_seja","1985","105"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_Valsts_prezidents","1968","106"
"lv.wikipedia","all-access","2018","04","all-days","Ādolfs_Hitlers","1968","106"
"lv.wikipedia","all-access","2018","04","all-days","Baroks","1966","108"
"lv.wikipedia","all-access","2018","04","all-days","Ziemeļamerika","1965","109"
"lv.wikipedia","all-access","2018","04","all-days","Napoleons_Bonaparts","1962","110"
"lv.wikipedia","all-access","2018","04","all-days","Senā_Grieķija","1957","111"
"lv.wikipedia","all-access","2018","04","all-days","Prāta_Vētra","1952","112"
"lv.wikipedia","all-access","2018","04","all-days","Vikipēdija:Kopienas_portāls","1943","113"
"lv.wikipedia","all-access","2018","04","all-days","Aspazija","1935","114"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_ezeru_uzskaitījums","1932","115"
"lv.wikipedia","all-access","2018","04","all-days","Romiešu_skaitļi","1931","116"
"lv.wikipedia","all-access","2018","04","all-days","Latvijas_demogrāfija","1930","117"
"lv.wikipedia","all-access","2018","04","all-days","Raimonds_Pauls","1914","118"
"lv.wikipedia","all-access","2018","04","all-days","Vietniekvārds","1909","119"
"lv.wikipedia","all-access","2018","04","all-days","Ojārs_Vācietis","1905","120"
"lv.wikipedia","all-access","2018","04","all-days","Saules_sistēmas_planētas","1904","121"
"lv.wikipedia","all-access","2018","04","all-days","Islāms","1901","122"
"lv.wikipedia","all-access","2018","04","all-days","Dānija","1899","123"
"lv.wikipedia","all-access","2018","04","all-days","Baltijas_jūra","1897","124"
"lv.wikipedia","all-access","2018","04","all-days","Eirāzija","1894","125"
"lv.wikipedia","all-access","2018","04","all-days","Latgale","1893","126"
"lv.wikipedia","all-access","2018","04","all-days","Kipra","1891","127"
"lv.wikipedia","all-access","2018","04","all-days","Internets","1886","128"
"lv.wikipedia","all-access","2018","04","all-days","Etanols","1885","129"
"lv.wikipedia","all-access","2018","04","all-days","Suns","1867","130"
"lv.wikipedia","all-access","2018","04","all-days","Romantisms","1863","131"
"lv.wikipedia","all-access","2018","04","all-days","Leonardo_da_Vinči","1861","132"
"lv.wikipedia","all-access","2018","04","all-days","Kristietība","1857","133"
"lv.wikipedia","all-access","2018","04","all-days","Ģeogrāfiskā_koordinātu_sistēma","1846","134"
"lv.wikipedia","all-access","2018","04","all-days","Dievs,_svētī_Latviju","1842","135"
"lv.wikipedia","all-access","2018","04","all-days","Demokrātija","1841","136"
"lv.wikipedia","all-access","2018","04","all-days","Kontinents","1840","137"
"lv.wikipedia","all-access","2018","04","all-days","Baltijas_ceļš","1833","138"
"lv.wikipedia","all-access","2018","04","all-days","Kurzeme","1828","139"
"lv.wikipedia","all-access","2018","04","all-days","Džezs","1825","140"
"lv.wikipedia","all-access","2018","04","all-days","1949._gada_marta_deportācijas","1810","141"
"lv.wikipedia","all-access","2018","04","all-days","Somija","1805","142"
"lv.wikipedia","all-access","2018","04","all-days","Suverēno_valstu_uzskaitījums","1796","143"
"lv.wikipedia","all-access","2018","04","all-days","1._maijs","1794","144"
"lv.wikipedia","all-access","2018","04","all-days","Grieķija","1771","145"
"lv.wikipedia","all-access","2018","04","all-days","Meža_pūce","1768","146"
"lv.wikipedia","all-access","2018","04","all-days","Latviešu_virtuve","1768","146"
